total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,3
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,21
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,23
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,25
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,25
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,26
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,27
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,28
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,29
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,30
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,35
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,36
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.0,256,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,37
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.0,128,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,3
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,13
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,18
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,17
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,21
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,24
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,23
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,30
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,30
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,31
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,33
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,32
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,34
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,35
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,36
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,38
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,37
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,39
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,1
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,3
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,13
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,18
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,21
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,24
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,25
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,27
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,29
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,28
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,32
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,33
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,34
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,35
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,38
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,39
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,1
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,17
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,19
