algorithm_name,run_id,TOTAL_TAGS,BER,Tolerance,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,System_Throughput,Tolerance_Threshold,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS (eps=0.00),0,1000,0.06,0.0,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.976,2600.2397762088717,5328.360197149327,0.0,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.00),1,1000,0.06,0.0,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.98,2610.8964966031704,5328.360197149327,0.0,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.00),3,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),2,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.988,2591.679345259955,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),4,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),6,1000,0.06,0.0,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.978,2605.568136406021,5328.360197149327,0.0,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.00),5,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.972,2549.708829547243,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),7,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.974,2554.955144011332,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),8,1000,0.06,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.974,2554.955144011332,5246.314464088978,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.00),9,1000,0.06,0.0,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.988,2674.028364187507,5413.012882970662,0.0,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.05),0,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.05),1,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.98,2570.694087403599,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.05),2,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.988,2591.679345259955,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.05),3,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.988,2591.679345259955,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.05),4,1000,0.06,0.05,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.968,2578.9263354202744,5328.360197149327,0.05,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.05),5,1000,0.06,0.05,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.98,2652.376312655624,5413.012882970662,0.05,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.05),6,1000,0.06,0.05,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.984,2663.2023384215654,5413.012882970662,0.05,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.05),9,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.974,2554.955144011332,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.05),7,1000,0.06,0.05,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.05,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),0,1000,0.06,0.1,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.984,2621.553216997469,5328.360197149327,0.1,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.05),8,1000,0.06,0.05,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.986,2626.8815771946183,5328.360197149327,0.05,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.10),1,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.976,2560.201458475421,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),3,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),2,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),6,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.974,2554.955144011332,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),4,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),8,1000,0.06,0.1,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.988,2632.2099373917677,5328.360197149327,0.1,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.10),5,1000,0.06,0.1,187650.0,0.18765000000000007,0.0,30,0,30,0,0.0,0.98,2611.244337863043,5329.070077271515,0.1,187.65,0.18765,0.18765000000000007,33.333333333333336,187.65000000000006,2.1316280309086064,5329.070077271515,0.03521252250000002,1.0
LODS (eps=0.15),0,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.976,2560.201458475421,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),1,1000,0.06,0.15,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.976,2600.2397762088717,5328.360197149327,0.15,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.10),7,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),6,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),9,1000,0.06,0.1,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.986,2626.8815771946183,5328.360197149327,0.1,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.15),3,1000,0.06,0.15,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.974,2594.9114160117224,5328.360197149327,0.15,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.15),5,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.986,2586.4330307958658,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),2,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),8,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),4,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.976,2560.201458475421,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),7,1000,0.06,0.15,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.986,2626.8815771946183,5328.360197149327,0.15,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.15),9,1000,0.06,0.15,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.978,2605.568136406021,5328.360197149327,0.15,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.20),1,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.99,2596.9256597240437,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),3,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.978,2565.44777293951,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),0,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.986,2586.4330307958658,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),4,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),2,1000,0.06,0.2,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.978,2646.9632997726535,5413.012882970662,0.2,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.20),5,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.994,2607.4182886522217,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),6,1000,0.06,0.2,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.982,2616.2248568003197,5328.360197149327,0.2,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.20),7,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),8,1000,0.06,0.2,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.972,2549.708829547243,5246.314464088978,0.2,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.20),9,1000,0.06,0.2,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.97,2584.2546956174237,5328.360197149327,0.2,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.25),1,1000,0.06,0.25,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.982,2657.7893255385948,5413.012882970662,0.25,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.25),0,1000,0.06,0.25,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.25,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.25),2,1000,0.06,0.25,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.988,2632.2099373917677,5328.360197149327,0.25,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.25),3,1000,0.06,0.25,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.988,2632.2099373917677,5328.360197149327,0.25,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.25),4,1000,0.06,0.25,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.25,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.25),7,1000,0.06,0.25,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.972,2589.583055814573,5328.360197149327,0.25,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.25),5,1000,0.06,0.25,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.25,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.25),6,1000,0.06,0.25,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.986,2586.4330307958658,5246.314464088978,0.25,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.25),8,1000,0.06,0.25,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.97,2544.462515083154,5246.314464088978,0.25,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.25),9,1000,0.06,0.25,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.978,2646.9632997726535,5413.012882970662,0.25,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
LODS (eps=0.30),0,1000,0.06,0.3,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.988,2591.679345259955,5246.314464088978,0.3,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.30),2,1000,0.06,0.3,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.3,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.30),1,1000,0.06,0.3,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.988,2591.679345259955,5246.314464088978,0.3,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.30),3,1000,0.06,0.3,184740.0,0.18474000000000004,0.0,29,0,29,0,0.0,0.98,2652.376312655624,5413.012882970662,0.3,184.74,0.18474,0.18474000000000004,34.48275862068966,184.74000000000004,2.1652051531882646,5413.012882970662,0.03412886760000001,1.0
